brand_id;brand;model_id;model;version_id;version;trim;category;energy;horsepower_ch;fiscal_hp_cv;mixed_consumption_l_100km;model_year;public_price_mad;promo_price_mad;turnkey_price_mad;registration_fee_mad;paint_fee_mad;luxury_tax_mad;depreciation_y1_pct;depreciation_y2_pct;depreciation_y3_pct;source_path
105;GWM;1811;HAVAL Jolion;21656;1.5 l 150 AT;Top;4x4 / SUV / Crossover;Essence;150;9;"5,0";2026;264900;1;253260;7360;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/haval-jolion/fiche-technique/1-5-l-150-at-top/21656.html
105;GWM;1908;HAVAL Jolion Pro;21651;1.5 HEV 190 AT;High;4x4 / SUV / Crossover;Hybride;190;9;"5,0";2026;299900;1;273260;7360;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/haval-jolion-pro/fiche-technique/1-5-hev-190-at-high/21651.html
105;GWM;1908;HAVAL Jolion Pro;21652;1.5 HEV 190 AT;Top;4x4 / SUV / Crossover;Hybride;190;9;"5,0";2026;339900;1;293260;7360;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/haval-jolion-pro/fiche-technique/1-5-hev-190-at-top/21652.html
105;GWM;1813;ORA 03;21648;126 kW AT;HIGH;Compacte;;;;;2026;379900;1;333260;7360;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/ora-03/fiche-technique/126-kw-at-high/21648.html
105;GWM;1813;ORA 03;21649;126 kW AT;TOP;Compacte;Electrique;171;9;"16,5";2026;399900;0;413260;7360;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/ora-03/fiche-technique/126-kw-at-top/21649.html
105;GWM;1814;POER DC;22804;2.0 D 150 AT;Double Cabine;Ludospace / Utilitaire;;;;;2026;394900;1;378510;2610;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/poer-dc/fiche-technique/2-0-d-150-at-double-cabine/22804.html
105;GWM;1814;POER DC;21669;2.0 D 150;Double Cabine;Ludospace / Utilitaire;Diesel;150;8;"9,5";2026;309900;1;288510;2610;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/poer-dc/fiche-technique/2-0-d-150-double-cabine/21669.html
105;GWM;1814;POER DC;21668;2.0 D 150;Simple Cabine;Ludospace / Utilitaire;Diesel;150;8;"9,5";2026;249900;1;243010;7110;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/poer-dc/fiche-technique/2-0-d-150-simple-cabine/21668.html
105;GWM;1815;TANK 300;21666;2.0 ICE 217 4WD;;4x4 / SUV / Crossover;Essence;217;11;"9,8";2026;449900;1;449260;13360;6000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/tank-300/fiche-technique/2-0-ice-217-4wd-/21666.html
105;GWM;1816;TANK 500;22802;3.0 ICE 355 4WD;;4x4 / SUV / Crossover;Essence MHEV;355;11;"10,8";2026;769900;1;745450;24555;7000;28329;25;15;10;https://www.wandaloo.com/neuf/gwm/tank-500/fiche-technique/3-0-ice-355-4wd/22802.html
105;GWM;1818;WEY 05;21664;2.0 AT 469 PHEV;LUXURY;4x4 / SUV / Crossover;Hybride rechargeable;469;11;"0,4";2026;655000;1;589360;13360;7000;0;25;15;10;https://www.wandaloo.com/neuf/gwm/wey-05/fiche-technique/2-0-at-469-phev-luxury/21664.html
18;Honda;218;Accord;20807;2.0 i-MMD e:HEV 204 CVT;;Familiale;Hybride;146;11;"4,0";2025;580000;1;420000;13055;0;0;25;15;10;https://www.wandaloo.com/neuf/honda/accord/fiche-technique/2-0-i-mmd-ehev-204-cvt-/20807.html
18;Honda;221;CR-V;21680;2.0 i-MMD 204 e:HEV;;4x4 / SUV / Crossover;Hybride;204;11;"5,9";2026;557000;1;479255;13055;0;0;25;15;10;https://www.wandaloo.com/neuf/honda/cr-v/fiche-technique/2-0-i-mmd-204-ehev-/21680.html
18;Honda;221;CR-V;21677;2.0 i-MMD 204 e:HEV;Silver Edition;4x4 / SUV / Crossover;Hybride;204;11;"5,9";2026;557000;1;464255;14255;0;0;25;15;10;https://www.wandaloo.com/neuf/honda/cr-v/fiche-technique/2-0-i-mmd-204-ehev-silver-edition/21677.html
