source;brand_id;brand;brand_slug;model_id;model;model_slug;version_id;version;version_slug;model_image_url;source_url
moteur.ma;88;Seat;seat;10374;Arona;arona;4477;1.0 TSI 115 DSG FR;10-tsi-115-dsg-fr;https://v3.moteur.ma/storage/media/images/models/nouvelle-arona-308.png;https://www.moteur.ma/fr/neuf/voiture/seat/arona/10-tsi-115-dsg-fr/
moteur.ma;88;Seat;seat;10374;Arona;arona;4475;1.0 TSI 115 DSG Style;10-tsi-115-dsg-style;https://v3.moteur.ma/storage/media/images/models/nouvelle-arona-308.png;https://www.moteur.ma/fr/neuf/voiture/seat/arona/10-tsi-115-dsg-style/
moteur.ma;88;Seat;seat;10374;Arona;arona;4476;1.0 TSI 115 DSG Urban;10-tsi-115-dsg-urban;https://v3.moteur.ma/storage/media/images/models/nouvelle-arona-308.png;https://www.moteur.ma/fr/neuf/voiture/seat/arona/10-tsi-115-dsg-urban/
moteur.ma;88;Seat;seat;10091;Ateca;ateca;2706;"2,0L TDI 150 DSG7 FR";20l-tdi-150-dsg7-fr;https://v3.moteur.ma/storage/media/images/models/nouvelle-ateca-867.png;https://www.moteur.ma/fr/neuf/voiture/seat/ateca/20l-tdi-150-dsg7-fr/
moteur.ma;88;Seat;seat;10091;Ateca;ateca;2703;2.0 TDI 150 DSG Business;20-tdi-150-dsg-business;https://v3.moteur.ma/storage/media/images/models/nouvelle-ateca-867.png;https://www.moteur.ma/fr/neuf/voiture/seat/ateca/20-tdi-150-dsg-business/
moteur.ma;88;Seat;seat;10091;Ateca;ateca;2702;"Style 2,0L TDI 150 DSG7";style-20l-tdi-150-dsg7;https://v3.moteur.ma/storage/media/images/models/nouvelle-ateca-867.png;https://www.moteur.ma/fr/neuf/voiture/seat/ateca/style-20l-tdi-150-dsg7/
moteur.ma;88;Seat;seat;1043;Ibiza;ibiza;4472;1.0 MPI 80 City;10-mpi-80-city;https://v3.moteur.ma/storage/media/images/models/nouvelle-ibiza-343.png;https://www.moteur.ma/fr/neuf/voiture/seat/ibiza/10-mpi-80-city/
moteur.ma;88;Seat;seat;1043;Ibiza;ibiza;4474;1.0 TSI 115 DSG FR;10-tsi-115-dsg-fr;https://v3.moteur.ma/storage/media/images/models/nouvelle-ibiza-343.png;https://www.moteur.ma/fr/neuf/voiture/seat/ibiza/10-tsi-115-dsg-fr/
moteur.ma;88;Seat;seat;1043;Ibiza;ibiza;4473;1.0 TSI 115 DSG Sport;10-tsi-115-dsg-sport;https://v3.moteur.ma/storage/media/images/models/nouvelle-ibiza-343.png;https://www.moteur.ma/fr/neuf/voiture/seat/ibiza/10-tsi-115-dsg-sport/
moteur.ma;88;Seat;seat;1045;Leon;leon;3722;"FR 2,0L TDI 150 DSG 7";fr-20l-tdi-150-dsg-7;https://v3.moteur.ma/storage/media/images/models/nouvelle-leon-538.png;https://www.moteur.ma/fr/neuf/voiture/seat/leon/fr-20l-tdi-150-dsg-7/
